DigimonNum,NaturalParent,Name,Name_pt,Name_es,IsStarter,NewStage,NewSpriteNum,NewSpriteSet,NewAttribute,NewField,Element,TempReq,Priority Default,SpecialEvolution,VaccinePowerFirstKey,VaccinePowerFirstValue,VaccinePowerSecondKey,VaccinePowerSecondValue,DataPowerFirstKey,DataPowerFirstValue,DataPowerSecondKey,DataPowerSecondValue,VirusPowerFirstKey,VirusPowerFirstValue,VirusPowerSecondKey,VirusPowerSecondValue,Weight,IsRestart,NewWeight,StomachCapacity,Time,DisturbKey,DisturbValue,OvereatKey,OvereatValue,SickKey,SickValue,InjuredKey,InjuredValue,Habitat,Mood,ObedienceKey,ObedienceValue,BattlesKey,BattlesValue,WinsKey,WinsValue,MistakesKey,MistakesValue,Probability,Unlocked,VaccineName:Effect,DataName:Effect,VirusName:Effect,IdealTemp,SpecialAttacksVaccineDataVirus,MajorFood,IncarnationsKey,IncarnationsValue,MinLevelFought (vaccine+data+virus+[health*100])/100,LevelFoughtKey,LevelFoughtValue,Xantibody,VirusBusterKey,VirusBusterValue,MetalEmpireKey,MetalEmpireValue,DragonsRoarKey,DragonsRoarValue,JungleTrooperKey,JungleTrooperValue,DeepSaverKey,DeepSaverValue,NightmareSoldierKey,NightmareSoldierValue,WindGuardianKey,WindGuardianValue,NatureSpiritKey,NatureSpiritValue,DarkAreaKey,DarkAreaValue,NoneKey,NoneValue,VaccineChange,DataChange,VirusChange,LifespanMod,GrowthPeriodMod,EvolItemID,TournamentAble,HiddenEvolution,HiddenPreEvolution,ShowEvolutions,ShowPreEvolutions,MeatRank,FishRank,VegRank,FruitRank,MorningRank,DayRank,NightRank,VaccineRank,DataRank,VirusRank,FoodPreference,TimePreference,AttributePreference,MaxEnergy,MaxStrength,SleepEnergyGain,NapEnergyGain,CollapseIndices,HungerDecayCoefficient,StrengthDecayCoefficient,SleepLapseInc,AwakeLapseInc,PoopLapseInc,PoopLimit,GiveItem,EvolFood,RotateSpriteToFuton,ListPriority,CanAssist,MedRank,JunkRank,GrainRank,DairyRank,FoodAversion,TimeAversion,AttributeAversion,FoodIntolerance(; separator),ResetEvolVars,SleepMinutesToEnergyGain,PoopSickChanceBoundMultiplier,FilthLapseMoodChange
0,-1,Digitama,Digitama,Digitama,TRUE,Egg,138,0,None,None,None,0t-1,0,None,None,0,None,0,None,0,None,0,None,0,None,0,None,TRUE,5,8,None,None,0,None,0,None,0,None,0,-1,None,None,0,None,0,None,0,None,0,100;100,TRUE,Sway:None,Bounce:None,Quiver:None,0t100,-1:-1:-1,None,None,0,0,None,0,None,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,0,0,0,17000,13400,-1,TRUE,FALSE,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,None,None,None,24,4,3,1,-1,24,20,1,1,1,64,-1,-1,0,FALSE,FALSE,0,0,0,0,None,None,None,None,TRUE,60,1,-1
1,-1,YukimiBotamon,YukimiBotamon,YukimiBotamon,FALSE,Fresh,0,0,None,None,None,0t10,0,None,None,0,None,0,None,0,None,0,None,0,None,0,None,FALSE,10,8,None,None,0,None,0,None,0,None,0,-1,None,None,0,None,0,None,0,None,0,100;100,FALSE,Foam:None,Gurgle:None,Bubble:None,40t60,-1:-1:-1,None,None,0,0,None,0,None,GreaterThan,20,None,0,None,0,None,0,GreaterThan,45,None,0,None,0,GreaterThan,20,None,0,None,0,0,0,0,0,0,-1,TRUE,FALSE,FALSE,TRUE,TRUE,0,0,0,0,25,0,-25,0,0,0,Dairy,Morning,None,12,8,3,1,1410,24,20,9,16,16,64,-1,-1,0,FALSE,FALSE,0,0,-25,25,Grain,Night,None,None,TRUE,60,0.8,-1
2,-1,Botamon,Botamon,Botamon,FALSE,Fresh,11,0,None,None,None,50t60,0,None,None,0,None,0,None,0,None,0,None,0,None,0,None,FALSE,10,8,None,None,0,None,0,None,0,None,0,2,None,None,0,None,0,None,0,None,0,100;100,FALSE,Foam:None,Gurgle:None,Bubble:None,40t60,-1:-1:-1,None,None,0,0,None,0,None,None,0,None,0,GreaterThan,45,None,0,None,0,None,0,None,0,GreaterThan,45,None,0,None,0,0,0,0,0,0,-1,TRUE,FALSE,FALSE,TRUE,TRUE,0,0,0,0,25,0,-25,0,0,0,Dairy,Morning,None,12,8,3,1,1411,24,20,9,16,16,64,-1,-1,0,FALSE,FALSE,0,0,-25,25,Grain,Night,None,None,TRUE,60,0.8,-1
3,-1,Punimon,Punimon,Punimon,FALSE,Fresh,22,0,None,None,None,40t50,0,None,None,0,None,0,None,0,None,0,None,0,None,0,None,FALSE,10,8,None,None,0,None,0,None,0,None,0,3,None,None,0,None,0,None,0,None,0,100;100,FALSE,Foam:None,Gurgle:None,Bubble:None,40t60,-1:-1:-1,None,None,0,0,None,0,None,None,0,None,0,None,0,None,0,None,0,GreaterThan,45,None,0,GreaterThan,45,None,0,None,0,0,0,0,0,0,-1,TRUE,FALSE,FALSE,TRUE,TRUE,0,0,0,0,25,0,-25,0,0,0,Dairy,Morning,None,12,8,3,1,1412,24,20,9,16,16,64,-1,-1,0,FALSE,FALSE,0,0,-25,25,Grain,Night,None,None,TRUE,60,0.8,-1
4,-1,Poyomon,Poyomon,Poyomon,FALSE,Fresh,33,0,None,None,None,30t40,0,None,None,0,None,0,None,0,None,0,None,0,None,0,None,FALSE,10,8,None,None,0,None,0,None,0,None,0,4,None,None,0,None,0,None,0,None,0,100;100,FALSE,Foam:None,Gurgle:None,Bubble:None,40t60,-1:-1:-1,None,None,0,0,None,0,None,None,0,None,0,None,0,None,0,GreaterThan,45,None,0,GreaterThan,20,GreaterThan,20,None,0,None,0,0,0,0,0,0,-1,TRUE,FALSE,FALSE,TRUE,TRUE,0,0,0,0,25,0,-25,0,0,0,Dairy,Morning,None,12,8,3,1,1413,24,20,9,16,16,64,-1,-1,0,FALSE,FALSE,0,0,-25,25,Grain,Night,None,None,TRUE,60,0.8,-1
5,-1,Yuramon,Yuramon,Yuramon,FALSE,Fresh,44,0,None,None,None,50t60,0,None,None,0,None,0,None,0,None,0,None,0,None,0,None,FALSE,10,8,None,None,0,None,0,None,0,None,0,12,None,None,0,None,0,None,0,None,0,100;100,FALSE,Foam:None,Gurgle:None,Bubble:None,40t60,-1:-1:-1,None,None,0,0,None,0,None,None,0,None,0,None,0,GreaterThan,45,None,0,None,0,None,0,GreaterThan,45,None,0,None,0,0,0,0,0,0,-1,TRUE,FALSE,FALSE,TRUE,TRUE,0,0,0,0,25,0,-25,0,0,0,Dairy,Morning,None,12,8,3,1,1414,24,20,9,16,16,64,-1,-1,0,FALSE,FALSE,0,0,-25,25,Grain,Night,None,None,TRUE,60,0.8,-1
6,-1,Zurumon,Zurumon,Zurumon,FALSE,Fresh,55,0,None,None,None,30t40,0,None,None,0,None,0,None,0,None,0,None,0,None,0,None,FALSE,10,8,None,None,0,None,0,None,0,None,0,6,None,None,0,None,0,None,0,None,0,100;100,FALSE,Foam:None,Gurgle:None,Bubble:None,40t60,-1:-1:-1,None,None,0,0,None,0,None,None,0,None,0,GreaterThan,20,None,0,None,0,GreaterThan,45,None,0,GreaterThan,20,None,0,None,0,0,0,0,0,0,-1,TRUE,FALSE,FALSE,TRUE,TRUE,0,0,0,0,25,0,-25,0,0,0,Dairy,Morning,None,12,8,3,1,1415,24,20,9,16,16,64,-1,-1,0,FALSE,FALSE,0,0,-25,25,Grain,Night,None,None,TRUE,60,0.8,-1
7,-1,Babumon,Babumon,Babumon,FALSE,Fresh,66,0,None,None,None,60t70,0,None,None,0,None,0,None,0,None,0,None,0,None,0,None,FALSE,10,8,None,None,0,None,0,None,0,None,0,7,None,None,0,None,0,None,0,None,0,100;100,FALSE,Foam:None,Gurgle:None,Bubble:None,40t60,-1:-1:-1,None,None,0,0,None,0,None,None,0,None,0,None,0,None,0,None,0,None,0,None,0,GreaterThan,90,None,0,None,0,0,0,0,0,0,-1,TRUE,FALSE,FALSE,TRUE,TRUE,0,0,0,0,25,0,-25,0,0,0,Dairy,Morning,None,12,8,3,1,1416,24,20,9,16,16,64,-1,-1,0,FALSE,FALSE,0,0,-25,25,Grain,Night,None,None,TRUE,60,0.8,-1
8,-1,Pichimon,Pichimon,Pichimon,FALSE,Fresh,77,0,None,None,None,30t40,0,None,None,0,None,0,None,0,None,0,None,0,None,0,None,FALSE,10,8,None,None,0,None,0,None,0,None,0,8,None,None,0,None,0,None,0,None,0,100;100,FALSE,Foam:None,Gurgle:None,Bubble:None,40t60,-1:-1:-1,None,None,0,0,None,0,None,None,0,None,0,None,0,None,0,GreaterThan,90,None,0,None,0,None,0,None,0,None,0,0,0,0,0,0,-1,TRUE,FALSE,FALSE,TRUE,TRUE,0,0,0,0,25,0,-25,0,0,0,Dairy,Morning,None,12,8,3,1,1417,24,20,9,16,16,64,-1,-1,0,FALSE,FALSE,0,0,-25,25,Grain,Night,None,None,TRUE,60,0.8,-1
